partno,x,y,z,u,v,w,ph,aspr,fnd,lrl,tngr,u,kn,do,it
1,-3.4963,3.8238,0.46389,-1.9448,-0.13993,-3.5659,-0.23023,-2.5865,-1.6493,0.79359,-1.4347,0.11679,-0.9013,-2.5477,-3.4713
2,-4.8532,2.9857,-1.3126,0.69722,-0.87565,0.74503,1.7101,-1.3519,-2.2659,0.57878,-0.020409,-1.9311,-2.2618,-2.0366,-3.6801
3,-4.4535,1.2736,0.95038,1.0496,-1.1175,1.2777,-1.4217,-0.78142,-2.3235,0.021631,0.39578,-0.75344,-3.7732,-1.5895,-2.5256
4,-4.1965,0.56331,0.73634,0.97399,-1.6486,-0.40276,-0.1651,1.5206,1.0233,-1.9125,-1.3784,-0.77982,-3.7218,-1.0148,-2.8357
5,-2.9911,-0.63811,1.9631,2.3952,-0.54849,-0.38242,-1.3649,0.091771,-0.92258,-2.8552,-1.8035,1.2107,-1.6532,-4.2483,-3.3972
6,-4.5241,0.034762,3.0813,0.18216,-1.1507,-1.0327,0.8419,-1.3736,-1.724,-0.39429,-0.96431,-2.2752,-1.5091,-0.12851,-1.9599
7,-4.339,-2.4266,3.2092,-1.4956,0.69497,0.13199,-1.4937,-0.88587,-2.7018,-0.0058537,-1.0772,-1.7085,-1.2713,-1.3837,-3.3064
8,-4.6138,-2.5173,2.6664,0.50538,-2.985,0.78632,-0.023786,-2.1177,-1.5751,0.24988,1.5311,-2.1009,-0.25059,-3.0972,-2.2888
9,-2.7221,-2.8533,2.868,-1.3409,-1.4024,0.36733,-0.83669,-1.1916,-0.85725,-0.049406,-1.63,-2.0202,-0.76377,-1.9083,-3.8463
10,-0.2656,-4.4824,2.3848,-1.3429,-1.2441,-0.17523,-0.6541,-1.8494,-2.923,2.4224,0.60218,-2.1152,-1.7534,-1.8859,-2.5169
11,-1.6424,-3.4684,1.5145,2.0382,-2.9021,-0.39613,0.53993,-0.89577,-2.7704,0.32942,-0.73889,-2.5777,-1.2411,-1.4973,-0.33002
