partno,x,y,z,u,v,w,ph,aspr,fnd,lrl,tngr,u,kn,do,it
1,-3.2661,3.856,0.31846,-2.0792,-1.215,0.32367,0.8781,-1.0721,-1.6424,-0.93392,-2.0484,-1.9484,-1.0305,-2.3372,-3.4457
2,-4.023,1.8628,-0.15373,-2.9282,-0.94516,-1.1231,-1.7411,-1.0874,-1.847,-0.73336,-1.2659,-2.6277,-0.43245,-3.8524,-3.3195
3,-5.1584,2.2038,0.15246,-2.1262,-1.1801,-1.2239,-3.1235,-0.23947,1.3381,1.4923,-2.1369,-1.7502,-2.0491,-2.2445,-3.9165
4,-5.5523,1.7615,0.91997,-3.4853,1.9259,-0.27301,-0.67625,0.37164,-2.3602,-0.33273,-1.1763,-1.6557,-1.4576,-2.8954,-2.3354
5,-4.3081,0.16819,3.4099,0.078357,-0.84191,-0.54538,-0.68936,0.23838,0.28174,-0.48769,-2.3393,-1.1369,-1.7205,-1.0285,-4.5156
6,-3.0155,1.3721,2.5778,-2.2513,-1.3943,-0.31948,-1.3104,-0.7067,-1.5774,-0.68389,-2.3281,-2.1554,-2.4981,-2.7152,0.42718
7,0.6664,0.33451,4.0809,-2.915,-1.0482,-0.66042,-0.58167,-0.36584,-0.58998,-1.1116,-2.6611,-1.7928,-0.53138,-2.0209,-2.9817
8,-1.5707,-1.099,1.7218,-1.6201,-0.89018,-2.0751,-2.447,-1.1698,0.12608,-1.0016,-1.4752,-2.6984,-3.83,-2.3574,-4.118
9,-0.46643,-0.75938,2.8331,-0.43978,0.4912,-1.456,-1.1475,-0.58554,-0.17368,-0.092567,-1.0564,-1.1151,-1.9788,-2.0627,-5.4076
10,-2.166,-2.0109,2.238,-1.2907,1.0498,-0.92946,-2.0636,-1.3319,-0.24948,-0.96734,-2.6934,-3.3506,-2.0218,-2.6416,-3.6621
11,-0.5924,-4.9044,2.9817,-3.771,-0.30755,0.62903,-1.9382,-0.88492,-0.3894,-1.3669,-1.706,-1.3415,-2.5664,-1.5525,-1.99
12,0.65659,-4.2434,0.6608,-1.073,-1.6599,1.5515,-0.5434,-0.54821,-1.0626,-2.9151,-2.8577,-1.3569,0.81236,-1.6047,-2.7196
13,0.43058,-4.4207,2.0642,-1.7878,1.4573,-1.2587,-1.4229,-0.74297,-2.6084,-0.15735,-1.5482,-1.6042,-0.77067,-1.2504,-2.1615
14,1.0861,-4.6973,0.64547,-2.7525,-1.4597,-0.46444,-0.94302,1.0153,0.15901,-1.1473,-2.2148,-0.10929,1.207,-2.0697,-3.369
15,0.6461,-3.6023,-0.28155,-0.28974,-1.3209,0.20411,-1.647,0.52034,-1.1721,-0.77312,-1.8905,-0.60455,-1.0567,-3.1807,-3.4444
16,1.4176,-3.8201,-1.1207,-3.0491,-2.3073,-0.075823,-0.26753,-0.56433,-2.1471,-2.218,-0.63166,-1.6984,-1.8291,-0.79832,-3.5281
17,2.8875,-3.4888,-1.496,-2.2275,-0.031623,2.7141,-2.45,-0.27811,-0.81571,-1.4742,-2.2877,-1.0105,0.91421,-2.8477,-2.1123
18,2.3542,-1.3601,-2.5811,-1.473,0.24172,-0.039037,0.19614,-0.87793,-1.6911,-0.38268,0.14568,-2.6632,-1.6049,-0.99206,-4.4998
