partno,x,y,z,u,v,w,ph,aspr,fnd,lrl,tngr,u,kn,do,it
1,-3.0383,2.9843,0.024337,-1.3038,-0.16527,-1.3294,-2.5317,-1.4375,-3.6054,0.30165,-0.86053,-2.376,-0.02618,-4.0008,-2.9383
2,-4.2162,3.0661,0.86038,-1.3959,-1.1132,-0.35236,-0.87607,0.44775,0.42971,-2.0322,-1.1415,-2.8806,-2.549,-2.3602,-1.3827
3,-4.807,2.453,1.0707,0.57314,-2.1992,-0.15959,-0.98874,0.439,0.84771,-1.1117,-2.7409,-2.4503,-2.5329,-0.061519,-3.6037
4,-3.2022,1.1266,2.8346,-1.3206,-2.5358,-1.6186,-1.0856,-0.85295,-0.90726,0.19638,-0.98405,-1.5462,0.085325,-3.2674,-2.3545
5,-2.8823,0.24683,2.6858,-1.7308,-2.3004,-0.094606,-0.87779,1.8987,-1.39,-1.056,-1.3794,-3.7061,-1.9664,-4.2986,-2.2616
6,-4.236,-0.26997,2.3028,-0.26812,-1.7664,0.28813,-0.87956,1.0169,-0.92572,-3.3963,-2.1518,-0.43944,-2.6176,-1.5726,-3.0146
7,-1.4205,-3.1884,2.8642,-1.7833,1.7342,0.62204,-0.2507,-1.7577,-1.2051,-1.5388,-0.22249,-2.0838,-0.85417,-4.6021,-3.5133
8,-3.0888,-3.6238,3.6133,-0.29422,-1.1419,-1.5371,-0.50435,-0.35031,-1.0365,-1.2451,-1.5847,-3.5586,-1.8434,-3.3851,-4.1429
9,-2.7526,-3.3277,0.97301,0.39032,-0.65064,-0.22266,-1.6601,-1.4959,0.28418,-1.3962,-2.0319,-0.44977,-1.7764,-3.1326,-3.4448
10,-1.7255,-4.5593,5.2042,1.0868,-0.85244,-1.4579,-2.4759,-0.86784,0.063645,-2.5834,-3.6352,-3.2338,-1.2039,-2.1289,-2.6705
11,-0.26908,-3.7718,1.7491,0.30138,-2.5053,0.25708,-2.4365,-1.0165,-0.16474,-0.1947,-2.4046,-0.49887,-0.85558,-2.5526,-3.2735
12,0.37234,-4.6249,1.6583,-0.49892,-0.2963,1.3327,-1.0913,-0.87861,-0.078983,-1.0276,-2.2928,-0.77757,-1.1805,-2.3034,-2.5057
13,1.5402,-5.4646,0.77009,-0.68384,-1.629,1.4922,-2.3988,-1.1376,-1.4003,-2.3577,-1.4267,-1.9619,0.076144,-2.6325,-4.017
14,3.503,-3.3167,-0.08413,-2.03,-1.5133,-0.34091,-1.2076,-0.89804,-0.22704,-0.76098,-2.4532,-2.5921,-2.1574,-2.8296,-3.1969
15,2.4393,-7.4344,-1.1503,0.7334,-2.1051,0.75399,-1.0913,-0.64785,-0.46903,-2.6853,-1.2531,0.0063577,-1.2779,-2.2147,-3.5291
16,2.8082,-3.8584,-1.1233,-0.86671,-1.244,1.8493,-3.6571,1.629,-0.29455,-0.086864,-2.7979,-2.1401,-1.6134,-1.7663,-4.382
